t, x1, x2, u
0.396, 0.00654565, 0.0279329, 1
0.397, 0.00657359, 0.0279574, 1
0.398, 0.00660156, 0.0279816, 1
0.399, 0.00662956, 0.0280055, 1
0.4, 0.00665757, 0.0280291, 1
0.401, 0.00668562, 0.0280524, 1
0.402, 0.00671368, 0.0280755, 1
0.403, 0.00674177, 0.0280983, 1
0.404, 0.00676988, 0.0281207, 1
0.405, 0.00679801, 0.0281429, 1
0.406, 0.00682616, 0.0281648, 1
0.407, 0.00685434, 0.0281865, 1
0.408, 0.00688253, 0.0282078, 1
0.409, 0.00691075, 0.0282289, 1
0.41, 0.00693899, 0.0282496, 1
0.411, 0.00696725, 0.0282701, 1
0.412, 0.00699553, 0.0282903, 1
0.413, 0.00702383, 0.0283102, 1
0.414, 0.00705215, 0.0283299, 1
0.415, 0.00708049, 0.0283492, 1
0.416, 0.00710885, 0.0283683, 1
0.417, 0.00713723, 0.0283871, 1
0.418, 0.00716562, 0.0284055, 1
0.419, 0.00719404, 0.0284237, 1
0.42, 0.00722247, 0.0284417, 1
0.421, 0.00725092, 0.0284593, 1
0.422, 0.00727939, 0.0284766, 1
0.423, 0.00730788, 0.0284937, 1
0.424, 0.00733638, 0.0285105, 1
0.425, 0.0073649, 0.0285269, 1
0.426, 0.00739343, 0.0285431, 1
0.427, 0.00742198, 0.028559, 1
0.428, 0.00745055, 0.0285747, 1
0.429, 0.00747913, 0.02859, 1
0.43, 0.00750773, 0.0286051, 1
0.431, 0.00753634, 0.0286198, 1
0.432, 0.00756497, 0.0286343, 1
0.433, 0.00759361, 0.0286485, 1
0.434, 0.00762227, 0.0286624, 1
0.435, 0.00765094, 0.028676, 1
0.436, 0.00767962, 0.0286893, 1
0.437, 0.00770831, 0.0287024, 1
0.438, 0.00773702, 0.0287151, 1
0.439, 0.00776574, 0.0287276, 1
0.44, 0.00779448, 0.0287398, 1
0.441, 0.00782322, 0.0287517, 1
0.442, 0.00785198, 0.0287633, 1
0.443, 0.00788075, 0.0287746, 1
0.444, 0.00790953, 0.0287857, 1
0.445, 0.00793832, 0.0287964, 1
0.446, 0.00796712, 0.0288069, 1
0.447, 0.00799594, 0.0288171, 1
0.448, 0.00802476, 0.028827, 1
0.449, 0.00805359, 0.0288366, 1
0.45, 0.00808243, 0.0288459, 1
0.451, 0.00811128, 0.0288549, 1
0.452, 0.00814014, 0.0288636, 1
0.453, 0.00816901, 0.0288721, 1
0.454, 0.00819788, 0.0288803, 1
0.455, 0.00822677, 0.0288882, 1
0.456, 0.00825566, 0.0288958, 1
0.457, 0.00828456, 0.0289031, 1
0.458, 0.00831347, 0.0289101, 1
0.459, 0.00834238, 0.0289168, 1
0.46, 0.0083713, 0.0289233, 1
0.461, 0.00840023, 0.0289295, 1
0.462, 0.00842916, 0.0289353, 1
0.463, 0.0084581, 0.0289409, 1
0.464, 0.00848704, 0.0289462, 1
0.465, 0.00851599, 0.0289513, 1
0.466, 0.00854494, 0.028956, 1
0.467, 0.0085739, 0.0289604, 1
0.468, 0.00860286, 0.0289646, 1
0.469, 0.00863183, 0.0289685, 1
0.47, 0.0086608, 0.0289721, 1
0.471, 0.00868977, 0.0289754, 1
0.472, 0.00871875, 0.0289784, 1
